orgId	fit.genomics Name	Scientific  Name as shown in KBase	RefSeq/Genome ID	Media w/o Carbon and Nitrogrn source	Kbase Template Media	Carbon and Nitrogen Cpds IDs	Name/Media ID	Group	Condition	Description
acidovorax_3H21	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00222	set1IT083	carbon source	D-Gluconic Acid sodium salt	D-Gluconic Acid (C)
acidovorax_3H22	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00027	set1IT061	carbon source	D-Glucose	D-Glucose (C)
acidovorax_3H23	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00027	set1IT076	carbon source	D-Glucose	D-Glucose (C)
acidovorax_3H24	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00314	set1IT075	carbon source	D-Mannitol	D-Mannitol (C)
acidovorax_3H25	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00314	set1IT090	carbon source	D-Mannitol	D-Mannitol (C)
acidovorax_3H26	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00314	set2IT011	carbon source	D-Mannitol	D-Mannitol (C)
acidovorax_3H27	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00138	set2IT021	carbon source	D-Mannose	D-Mannose (C)
acidovorax_3H28	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00105	set1IT066	carbon source	D-Ribose	D-Ribose (C)
acidovorax_3H29	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00105	set1IT081	carbon source	D-Ribose	D-Ribose (C)
acidovorax_3H30	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00588	set2IT013	carbon source	D-Sorbitol	D-Sorbitol (C)
acidovorax_3H31	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00100	set2IT012	carbon source	Glycerol	Glycerol (C)
acidovorax_3H32	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00224	set1IT064	carbon source	L-Arabinose	L-Arabinose (C)
acidovorax_3H33	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00224	set1IT079	carbon source	L-Arabinose	L-Arabinose (C)
acidovorax_3H34	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00224	set2IT004	carbon source	L-Arabinose	L-Arabinose (C)
acidovorax_3H35	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00132	set2IT016	carbon source	L-Asparagine	L-Asparagine (C)
acidovorax_3H36	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00053	set2IT017	carbon source	L-Glutamine	L-Glutamine (C)
acidovorax_3H37	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00130	set2IT015	carbon source	L-Malic acid disodium salt monohydrate	L-Malic (C)
acidovorax_3H38	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00221;cpd00159	set1IT072	carbon source	Sodium D,L-Lactate	D,L-Lactate (C)
acidovorax_3H39	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00221;cpd00159	set1IT086	carbon source	Sodium D,L-Lactate	D,L-Lactate (C)
acidovorax_3H40	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00221;cpd00159	set2IT008	carbon source	Sodium D,L-Lactate	D,L-Lactate (C)
acidovorax_3H41	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00221	set1IT070	carbon source	Sodium D-Lactate	D-Lactate (C)
acidovorax_3H42	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00221	set1IT084	carbon source	Sodium D-Lactate	D-Lactate (C)
acidovorax_3H43	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00221	set2IT006	carbon source	Sodium D-Lactate	D-Lactate (C)
acidovorax_3H44	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00159	set1IT071	carbon source	Sodium L-Lactate	L-Lactate (C)
acidovorax_3H45	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00159	set1IT085	carbon source	Sodium L-Lactate	L-Lactate (C)
acidovorax_3H46	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00159	set2IT007	carbon source	Sodium L-Lactate	L-Lactate (C)
acidovorax_3H47	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00141	set1IT089	carbon source	Sodium propionate	propionate (C)
acidovorax_3H48	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00020	set1IT073	carbon source	Sodium pyruvate	pyruvate (C)
acidovorax_3H49	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00020	set1IT087	carbon source	Sodium pyruvate	pyruvate (C)
acidovorax_3H50	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00020	set2IT009	carbon source	Sodium pyruvate	pyruvate (C)
acidovorax_3H51	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00036	set1IT074	carbon source	Sodium succinate dibasic hexahydrate	succinate (C)
acidovorax_3H52	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00036	set1IT088	carbon source	Sodium succinate dibasic hexahydrate	succinate (C)
acidovorax_3H53	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00036	set2IT010	carbon source	Sodium succinate dibasic hexahydrate	succinate (C)
acidovorax_3H54	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00076	set1IT063	carbon source	Sucrose	Sucrose (C)
acidovorax_3H55	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00076	set1IT078	carbon source	Sucrose	Sucrose (C)
acidovorax_3H56	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd01741	set2IT014	carbon source	Tween 20	Tween 20 (C)
acidovorax_3H57	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_Glucose_noNitrogen	RCH2_defined_Glucose_noNitrogen	cpd00013	set4IT092	nitrogen source	Ammonium chloride	Ammonium chloride (N)
acidovorax_3H58	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_Glucose_noNitrogen	RCH2_defined_Glucose_noNitrogen	cpd00117	set4IT086	nitrogen source	D-Alanine	D-Alanine (N)
acidovorax_3H59	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_Glucose_noNitrogen	RCH2_defined_Glucose_noNitrogen	cpd00035	set4IT078	nitrogen source	L-Alanine	L-Alanine (N)
acidovorax_3H60	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_Glucose_noNitrogen	RCH2_defined_Glucose_noNitrogen	cpd00051	set4IT070	nitrogen source	L-Arginine	L-Arginine (N)
acidovorax_3H61	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_Glucose_noNitrogen	RCH2_defined_Glucose_noNitrogen	cpd00053	set4IT075	nitrogen source	L-Glutamine	L-Glutamine (N)
acidovorax_3H62	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_Glucose_noNitrogen	RCH2_defined_Glucose_noNitrogen	cpd00119	set4IT071	nitrogen source	L-Histidine	L-Histidine (N)
acidovorax_3H63	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_Glucose_noNitrogen	RCH2_defined_Glucose_noNitrogen	cpd00322	set4IT080	nitrogen source	L-Isoleucine	L-Isoleucine (N)
acidovorax_3H64	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_Glucose_noNitrogen	RCH2_defined_Glucose_noNitrogen	cpd00107	set4IT081	nitrogen source	L-Leucine	L-Leucine (N)
acidovorax_3H65	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_Glucose_noNitrogen	RCH2_defined_Glucose_noNitrogen	cpd00066	set4IT083	nitrogen source	L-Phenylalanine	L-Phenylalanine (N)
acidovorax_3H66	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_Glucose_noNitrogen	RCH2_defined_Glucose_noNitrogen	cpd00129	set4IT077	nitrogen source	L-Proline	L-Proline (N)
acidovorax_3H67	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_Glucose_noNitrogen	RCH2_defined_Glucose_noNitrogen	cpd00054	set4IT072	nitrogen source	L-Serine	L-Serine (N)
acidovorax_3H68	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_Glucose_noNitrogen	RCH2_defined_Glucose_noNitrogen	cpd00161	set4IT073	nitrogen source	L-Threonine	L-Threonine (N)
acidovorax_3H69	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_Glucose_noNitrogen	RCH2_defined_Glucose_noNitrogen	cpd00069	set4IT084	nitrogen source	L-tyrosine disodium salt	L-tyrosine (N)
acidovorax_3H70	Acidovorax sp. GW101-3H11	Acidovorax sp. GW101-3H11	GCF_001633105.1	RCH2_defined_Glucose_noNitrogen	RCH2_defined_Glucose_noNitrogen	cpd00249	set4IT090	nitrogen source	Uridine	Uridine (N)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00024	set1IT069	carbon source	a-Ketoglutaric acid disodium salt hydrate	a-Ketoglutaric (C)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00024	set1IT072	carbon source	a-Ketoglutaric acid disodium salt hydrate	a-Ketoglutaric (C)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00082	set1IT067	carbon source	D-Fructose	D-Fructose (C)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00082	set1IT070	carbon source	D-Fructose	D-Fructose (C)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00222	set2IT001	carbon source	D-Gluconic Acid sodium salt	D-Gluconic Acid (C)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00222	set3IT049	carbon source	D-Gluconic Acid sodium salt	D-Gluconic Acid (C)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00363	set2IT007	carbon source	Ethanol	Ethanol (C)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00363	set3IT055	carbon source	Ethanol	Ethanol (C)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00100	set2IT008	carbon source	Glycerol	Glycerol (C)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00100	set3IT056	carbon source	Glycerol	Glycerol (C)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00053	set2IT010	carbon source	L-Glutamine	L-Glutamine (C)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00053	set3IT058	carbon source	L-Glutamine	L-Glutamine (C)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00107	set3IT061	carbon source	L-Leucine	L-Leucine (C)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00130	set2IT009	carbon source	L-Malic acid disodium salt monohydrate	L-Malic (C)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00130	set3IT057	carbon source	L-Malic acid disodium salt monohydrate	L-Malic (C)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00129	set2IT011	carbon source	L-Proline	L-Proline (C)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00129	set3IT059	carbon source	L-Proline	L-Proline (C)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00211	set2IT014	carbon source	Sodium butyrate	butyrate (C)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00211	set3IT062	carbon source	Sodium butyrate	butyrate (C)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00221;cpd00159	set2IT004	carbon source	Sodium D,L-Lactate	D,L-Lactate (C)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00221;cpd00159	set3IT052	carbon source	Sodium D,L-Lactate	D,L-Lactate (C)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00221	set2IT002	carbon source	Sodium D-Lactate	D-Lactate (C)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00221	set3IT050	carbon source	Sodium D-Lactate	D-Lactate (C)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00159	set2IT003	carbon source	Sodium L-Lactate	L-Lactate (C)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00159	set3IT051	carbon source	Sodium L-Lactate	L-Lactate (C)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00020	set2IT005	carbon source	Sodium pyruvate	pyruvate (C)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00020	set3IT053	carbon source	Sodium pyruvate	pyruvate (C)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00036	set2IT006	carbon source	Sodium succinate dibasic hexahydrate	succinate (C)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00036	set3IT054	carbon source	Sodium succinate dibasic hexahydrate	succinate (C)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00076	set1IT068	carbon source	Sucrose	Sucrose (C)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noCarbon	RCH2_defined_noCarbon	cpd00076	set1IT071	carbon source	Sucrose	Sucrose (C)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noNitrogen	RCH2_defined_noNitrogen	cpd00013	set2IT033	nitrogen source	Ammonium chloride	Ammonium chloride (N)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noNitrogen	RCH2_defined_noNitrogen	cpd00013	set3IT081	nitrogen source	Ammonium chloride	Ammonium chloride (N)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noNitrogen	RCH2_defined_noNitrogen	cpd00051;cpd00119;cpd00322;cpd00107;cpd00039;cpd00060;cpd00066;cpd00161;cpd00156;cpd00035;cpd00132;cpd00041;cpd00084;cpd00053;cpd00023;cpd00033;cpd00129;cpd00054;cpd00069	set2IT029	nitrogen source	casamino acids	casaminos (N)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noNitrogen	RCH2_defined_noNitrogen	cpd00051;cpd00119;cpd00322;cpd00107;cpd00039;cpd00060;cpd00066;cpd00161;cpd00156;cpd00035;cpd00132;cpd00041;cpd00084;cpd00053;cpd00023;cpd00033;cpd00129;cpd00054;cpd00069	set3IT077	nitrogen source	casamino acids	casaminos (N)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noNitrogen	RCH2_defined_noNitrogen	cpd00307	set2IT031	nitrogen source	Cytosine	Cytosine (N)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noNitrogen	RCH2_defined_noNitrogen	cpd00307	set3IT079	nitrogen source	Cytosine	Cytosine (N)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noNitrogen	RCH2_defined_noNitrogen	cpd00117	set2IT027	nitrogen source	D-Alanine	D-Alanine (N)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noNitrogen	RCH2_defined_noNitrogen	cpd00117	set3IT075	nitrogen source	D-Alanine	D-Alanine (N)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noNitrogen	RCH2_defined_noNitrogen	0	set2IT032	nitrogen source	Glucuronamide	Glucuronamide (N)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noNitrogen	RCH2_defined_noNitrogen	0	set3IT080	nitrogen source	Glucuronamide	Glucuronamide (N)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noNitrogen	RCH2_defined_noNitrogen	cpd00132	set2IT021	nitrogen source	L-Asparagine	L-Asparagine (N)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noNitrogen	RCH2_defined_noNitrogen	cpd00132	set3IT069	nitrogen source	L-Asparagine	L-Asparagine (N)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noNitrogen	RCH2_defined_noNitrogen	cpd00041	set2IT017	nitrogen source	L-Aspartic Acid	L-Aspartic Acid (N)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noNitrogen	RCH2_defined_noNitrogen	cpd00041	set3IT065	nitrogen source	L-Aspartic Acid	L-Aspartic Acid (N)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noNitrogen	RCH2_defined_noNitrogen	cpd00274	set2IT028	nitrogen source	L-Citrulline	L-Citrulline (N)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noNitrogen	RCH2_defined_noNitrogen	cpd00274	set3IT076	nitrogen source	L-Citrulline	L-Citrulline (N)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noNitrogen	RCH2_defined_noNitrogen	cpd00023	set2IT018	nitrogen source	L-Glutamic acid monopotassium salt monohydrate	L-Glutamic (N)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noNitrogen	RCH2_defined_noNitrogen	cpd00119	set3IT063	nitrogen source	L-Histidine	L-Histidine (N)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noNitrogen	RCH2_defined_noNitrogen	cpd00322	set3IT072	nitrogen source	L-Isoleucine	L-Isoleucine (N)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noNitrogen	RCH2_defined_noNitrogen	cpd00107	set2IT025	nitrogen source	L-Leucine	L-Leucine (N)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noNitrogen	RCH2_defined_noNitrogen	cpd00107	set3IT073	nitrogen source	L-Leucine	L-Leucine (N)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noNitrogen	RCH2_defined_noNitrogen	cpd00039	set2IT016	nitrogen source	L-Lysine	L-Lysine (N)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noNitrogen	RCH2_defined_noNitrogen	cpd00039	set3IT064	nitrogen source	L-Lysine	L-Lysine (N)
azobra	Azospirillum brasilense Sp245	Azospirillum brasilense Sp245	GCF_000237365.1	RCH2_defined_noNitrogen	RCH2_defined_noNitrogen	cpd00066	set2IT026	nitrogen source	L-Phenylalanine	L-Phenylalanine (N)
